number,food_code,thai_name,english_name,scientific_name,Ash (g),Calcium (mg),"Carbohydrate, available (g)","Carbohydrate, total (g)",Cholesterol (mg),Copper (mg),Density (g/mL),Dietary fibre (g),Edible portion (%),"Energy, by calculation (kcal)","Fat, total (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total omega-3 polyunsaturated (g)","Fatty acids, total omega-6 polyunsaturated (g)","Fatty acids, total polyunsaturated (g)","Fatty acids, total saturated (g)",Iron (mg),Magnesium (mg),Moisture (g),Niacin (mg),Phosphorus (mg),Potassium (mg),"Protein, total (g)",Retinol (mcg),Riboflavin (mg),Sodium (mg),"Sugars, total (g)",Thiamin (mg),Total energy - by calculation (kcal),Vitamin A; retinol activity equivalent (mcg),Vitamin C (mg),Zinc (mg),b-carotene (mcg),detail_url
61,T225,ผัดพริกขิงไก่ใส่ถั่วฝักยาว,stir-fried  long bean with red chilli paste and chicken (Pad-prik-king-gai),-,2.70,-,2.70,-,24,-,-,6.8,-,130,7.10,1.66,0.36,3.63,3.98,1.14,-,-,70.2,-,-,390,10.55,-,-,378,4.45,-,-,-,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1505&name=stir-fried  long bean with red chilli paste and chicken (Pad-prik-king-gai)
62,T227,ยำรวมมิตรทะเล,"Thai salad, spicy, mixed  seafood",-,3.28,28,7.52,-,393,0.12,-,0.9,-,82,1.25,-,-,-,-,0.60,0.46,33,77.3,-,70,158,9.71,5,0.03,649,7.50,0.01,-,11,1,0.86,71,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1506&name=Thai salad, spicy, mixed  seafood"
63,T100,"ลาบเลือด, อีสาน","Beef-blood salad, northeastern style",-,2.80,9,-,6.40,-,-,-,-,-,-,1.20,-,-,-,-,-,1.80,-,73.9,3.80,141,-,15.70,364,1.36,-,-,0.12,99,364,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1507&name=Beef-blood salad, northeastern style"
64,T101,ลาบอีสาน (ลาบเนื้อ),"Meat salad, Northeastern style (Lab-nhua)",-,2.40,85,-,7.80,-,-,-,-,-,-,4.30,-,-,-,-,-,2.55,-,74.7,3.05,122,-,12.40,166,0.18,-,-,0.05,122,168,1,-,214,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1508&name=Meat salad, Northeastern style (Lab-nhua)"
65,T228,สตูไก่,Chicken stew,-,2.43,-,-,3.10,43,-,-,-,-,-,4.47,1.52,-,-,1.28,1.47,0.67,-,72.6,-,-,-,17.40,-,-,570,-,-,122,-,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1509&name=Chicken stew
66,T229,สตูเนื้อ,Beef stew,-,2.40,-,-,10.47,33,-,-,-,-,-,4.47,1.81,0.06,0.53,0.59,1.89,1.87,-,69.3,-,-,-,13.33,-,-,432,-,-,135,-,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1510&name=Beef stew
67,T283,สเต็กปลาทูน่า,Tuna steak,-,2.70,14,5.65,-,29,-,-,4.4,-,180,10.35,-,-,-,-,4.37,1.55,-,64.1,-,-,-,13.85,-,0.07,504,5.65,0.15,-,-,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1511&name=Tuna steak
68,T230,สปาเก็ตตี้ซอสรสต่างๆ,Spaghetti with different sauces,-,2.52,13,9.73,-,11,-,-,2.4,-,105,4.97,-,-,-,-,1.67,0.34,-,77.3,-,-,-,4.23,12,-,656,9.72,-,-,12,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1512&name=Spaghetti with different sauces
69,T231,"ส้มตำ, ไทย","Papaya salad, spicy, with dried shrimps and roasted peanuts (Som-tum Thai)",-,3.34,54,14.34,-,18,0.12,-,3.3,-,105,2.65,-,-,-,-,0.60,2.14,41,72.1,-,68,227,4.29,11,-,627,-,-,-,17,7,0.58,75,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1513&name=Papaya salad, spicy, with dried shrimps and roasted peanuts (Som-tum Thai)"
70,T102,"ส้มตำ, ปู-กุ้ง",Papaya salad with crab and dried shrimps (Som-tum Poo-goong),-,3.60,71,-,12.80,-,-,-,-,-,-,2.10,-,-,-,-,-,-,-,77.8,1.80,64,-,3.70,-,0.75,-,-,0.01,85,-,3,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1514&name=Papaya salad with crab and dried shrimps (Som-tum Poo-goong)
71,T103,"ส้มตำ, อีสาน","Papaya salad, northeastern style (Som-tum-Isan)",-,3.00,94,-,4.50,-,-,-,-,-,-,0.30,-,-,-,-,-,-,-,90.4,0.70,44,-,1.80,-,0.05,-,-,0.01,28,-,3,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1515&name=Papaya salad, northeastern style (Som-tum-Isan)"
72,T307,ไส้เป็ดต้มพะโล้,"Duck, intestines, stewed in chineses herb gravy",Anas platyrhyncha,1.45,16,0.00,-,-,0.11,-,0.0,-,245,17.68,7.33,0.12,2.86,2.98,5.25,1.36,12,61.9,1.46,174,117,21.56,79,0.08,378,-,0.03,-,79,-,2.64,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1516&name=Duck, intestines, stewed in chineses herb gravy"
73,T131,หมี่กรอบ,"Mee-krop (Rice noodles, deep fried, crispy)",-,1.50,26,57.10,-,-,-,-,0.0,-,505,29.40,-,-,-,-,-,0.60,-,9.1,2.00,47,-,2.90,-,1.00,-,-,0.69,-,-,2,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1517&name=Mee-krop (Rice noodles, deep fried, crispy)"
74,T308,"หมู, เท้า(คากิ), ต้มพะโล้","Pork, trotter, stewed in chinese herb gravy",Sus scrofa domestica,2.70,213,8.67,-,96,0.08,-,0.0,-,276,15.40,7.57,0.24,2.36,2.74,4.47,1.33,-,47.4,-,-,-,25.80,-,-,456,-,-,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1518&name=Pork, trotter, stewed in chinese herb gravy"
75,T309,หมูสะเต๊ะ,"Pork, satay",Sus scrofa domestica,2.20,-,15.03,-,60,-,-,0.0,-,272,14.57,5.12,0.27,2.55,2.92,5.88,0.93,-,48.1,-,-,-,20.07,-,-,342,-,0.83,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1519&name=Pork, satay"
76,T306,"หอยจ้อ, ทอด ไก่หรือปู","Chicken/crab, roll, deep-fried",-,2.40,87,9.72,-,-,-,-,2.2,-,288,20.18,-,-,-,-,-,1.10,-,49.6,-,-,-,15.90,-,-,429,-,-,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1520&name=Chicken/crab, roll, deep-fried"
77,T2,กระเพาะปลา,Fish maw soup,-,1.00,47,1.80,-,2,-,-,0.9,-,56,2.95,-,-,-,-,1.28,1.35,-,88.4,1.60,63,-,5.00,164,0.17,296,0.60,0.01,-,164,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1521&name=Fish maw soup
78,T3,ก๋วยจั๊บ,"Noodle sheets, soup with meat and tofu (Guay-jub)",-,1.08,-,8.17,-,33,-,-,0.0,-,84,3.67,0.69,-,-,0.24,0.46,1.47,16,82.5,-,58,87,4.55,-,-,360,-,-,-,-,-,1.10,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1522&name=Noodle sheets, soup with meat and tofu (Guay-jub)"
79,T7,"ก๋วยเตี๋ยว, เนื้อสับ","Rice noodles, topped with minced beef in gravy",-,1.00,41,-,15.20,-,-,-,-,-,-,4.10,-,-,-,-,-,0.20,-,76.2,1.30,42,-,3.50,-,0.61,-,-,0.07,112,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1523&name=Rice noodles, topped with minced beef in gravy"
80,T8,"ก๋วยเตี๋ยว, ผัดขี้เมา","Rice noodles, fried with pork/chicken and spices (Guay-teaw pad-khee-mow)",-,1.60,-,12.50,-,-,-,-,-,-,-,9.80,-,-,-,-,-,-,-,56.6,-,-,413,19.50,-,-,702,-,-,216,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1524&name=Rice noodles, fried with pork/chicken and spices (Guay-teaw pad-khee-mow)"
81,T9,"ก๋วยเตี๋ยว, ผัดไทย","Rice noodles, stir fried, Thai style (Guay-teaw pad-thai)",-,2.07,95,20.67,-,57,-,-,2.0,-,171,6.33,2.02,0.19,2.62,2.81,1.22,1.50,-,62.1,1.70,109,163,6.83,9,0.76,445,9.97,0.07,-,9,1,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1525&name=Rice noodles, stir fried, Thai style (Guay-teaw pad-thai)"
82,T6,ก๋วยเตี๋ยวแขก (ก๋วยเตี๋ยวแกง),Rice noodles with beef curry Guay-teaw khak),-,1.60,59,-,9.40,-,-,-,-,-,-,7.40,-,-,-,-,-,0.40,-,75.0,1.60,63,-,6.60,-,0.86,-,-,0.12,131,-,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1526&name=Rice noodles with beef curry Guay-teaw khak)
83,T176,ก๋วยเตี๋ยวเส้นปลา,Guay-teaw sen-pla,-,1.10,52,2.47,-,23,-,-,0.9,-,70,0.73,0.16,0.06,0.05,0.10,0.41,0.40,-,81.9,-,-,-,12.87,-,-,228,-,-,-,-,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1527&name=Guay-teaw sen-pla
84,T10,"ก๋วยเตี๋ยวเส้นใหญ่, น้ำ, เย็นตาโฟ","Yen-ta-fo (Rice noodles, with fish ball, swamp cabbage red sauce and soup)",-,1.20,98,8.23,-,-,-,-,0.4,-,70,2.67,-,-,-,-,-,0.50,-,84.5,0.70,-,-,3.05,-,0.40,239,-,0.03,-,-,1,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1528&name=Yen-ta-fo (Rice noodles, with fish ball, swamp cabbage red sauce and soup)"
85,T11,"ก๋วยเตี๋ยวเส้นใหญ่, ผัดซี่อิ้ว, หมู","Guay-teaw-pad see-eiw (Rice noodles, fried with pork, kale, egg and dark soy sauce)",-,1.82,177,-,20.72,-,-,-,-,-,-,12.32,-,-,-,-,-,1.48,-,58.3,2.10,95,197,6.83,-,0.00,382,-,0.09,221,-,2,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1529&name=Guay-teaw-pad see-eiw (Rice noodles, fried with pork, kale, egg and dark soy sauce)"
86,T12,"ก๋วยเตี๋ยวเส้นใหญ่, ราดหน้า, กุ้ง","Guay-teaw-rad-nah, goong (Fried rice noodles with dark soy sauce, topped with fried chinese kale, shrimps and gravy)",-,0.90,122,-,12.40,-,-,-,-,-,-,2.70,-,-,-,-,-,-,-,81.6,0.20,34,-,2.40,-,0.08,202,-,0.01,84,-,1,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1530&name=Guay-teaw-rad-nah, goong (Fried rice noodles with dark soy sauce, topped with fried chinese kale, shrimps and gravy)"
87,T13,"ก๋วยเตี๋ยวเส้นใหญ่, ราดหน้า, ไก่/หมู","Guay-teaw-rad-nah (Fried rice noodles with dark soy sauce, topped with fried chinese kale, chicken/pork and gravy)",-,0.95,30,-,12.30,-,-,-,-,-,-,5.55,-,-,-,-,-,-,-,78.3,0.15,32,-,2.95,-,0.10,-,-,0.01,111,-,1,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1531&name=Guay-teaw-rad-nah (Fried rice noodles with dark soy sauce, topped with fried chinese kale, chicken/pork and gravy)"
88,T173,"กะบับ/เคบับ, เนื้อ","Kebab, beef",-,3.85,-,9.25,-,48,-,-,2.9,-,183,4.20,1.56,0.03,0.19,0.21,2.23,-,-,54.3,-,-,552,25.50,-,-,566,2.35,-,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1532&name=Kebab, beef"
89,T177,"เกี๊ยว, กุ้ง, น้ำ",Giew-goong (Shrimp Wonton Soup),-,1.73,16,14.73,-,-,-,-,0.7,-,128,4.40,-,-,-,-,-,0.47,-,71.4,-,-,-,7.00,-,-,422,0.40,-,-,-,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1533&name=Giew-goong (Shrimp Wonton Soup)
90,T178,"เกี๊ยว, ปลา, ต้ม","Giew-pla (Fish dumplings, boiled)",-,1.77,45,7.50,-,31,-,-,0.8,-,149,7.13,2.66,0.26,1.19,1.51,2.61,0.87,-,69.5,-,-,-,13.30,-,-,356,-,-,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1534&name=Giew-pla (Fish dumplings, boiled)"
91,T36,"ขนมจีน, ซาวน้ำ, ภาคกลาง","Ka-nom-jeen-sow-nam (Fermented rice noodles, with pineapple, ground shrimp, garlic and coconut milk)",-,0.90,143,-,17.10,-,-,-,-,-,-,4.60,-,-,-,-,-,0.90,-,74.9,1.00,43,-,2.50,-,0.20,213,-,-,120,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1535&name=Ka-nom-jeen-sow-nam (Fermented rice noodles, with pineapple, ground shrimp, garlic and coconut milk)"
92,T37,"ขนมจีน, น้ำเงี้ยว, ภาคเหนือ","Ka-nom-jeen-nam-ngeaw (Fermented rice noodles, with minced pork/ beef/spareribs cooked in Thai herbs flavour soup)",-,1.70,81,7.40,-,-,-,-,0.5,-,79,3.55,-,-,-,-,-,0.95,-,82.9,1.10,30,-,4.00,-,0.43,310,-,0.03,-,-,0,-,32,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1536&name=Ka-nom-jeen-nam-ngeaw (Fermented rice noodles, with minced pork/ beef/spareribs cooked in Thai herbs flavour soup)"
93,T38,"ขนมจีน, น้ำพริก, ภาคกลาง","Ka-nom-jeen-nam-prik (Fermented rice noodles, topped  with peanut curry)",-,1.20,28,-,20.70,-,-,-,-,-,-,4.60,-,-,-,-,-,1.20,-,70.4,1.20,46,-,3.10,-,0.19,180,-,-,137,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1537&name=Ka-nom-jeen-nam-prik (Fermented rice noodles, topped  with peanut curry)"
94,T39,"ขนมจีน, น้ำยา","Ka-nom-jeen-nam-ya (Fermented rice noodles, topped with fish curry)",-,1.47,70,12.92,-,-,-,-,0.4,-,82,2.11,-,-,-,-,-,0.10,-,80.4,0.80,32,-,2.69,-,0.25,419,-,-,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1538&name=Ka-nom-jeen-nam-ya (Fermented rice noodles, topped with fish curry)"
95,T40,"ขนมจีน, น้ำยา, ปักษ์ใต้","Ka-nom-jeen-nam-ya pak-tai (Fermented rice noodles, topped with fish curry (without coconut milk), Southern style)",-,1.20,134,-,10.70,-,-,-,-,-,-,3.00,-,-,-,-,-,0.80,-,81.2,1.80,43,-,3.90,-,0.12,346,-,-,85,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1539&name=Ka-nom-jeen-nam-ya pak-tai (Fermented rice noodles, topped with fish curry (without coconut milk), Southern style)"
96,T41,ขนมผักกาด,"Ka-nom-pak-kad (Radish rice cake, fried with egg and mungbean sprout)",-,1.58,19,-,25.40,-,-,-,-,-,-,8.49,-,-,-,-,-,0.50,-,59.0,1.10,61,-,5.50,-,0.18,-,-,0.01,200,-,1,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1540&name=Ka-nom-pak-kad (Radish rice cake, fried with egg and mungbean sprout)"
97,T194,ข้าวกล้อง-แกงป่าไก่,Brown rice and country style chicken red curry (without coconut milk),-,1.35,16,16.10,-,4,-,-,2.2,-,103,1.67,0.58,0.04,0.51,0.55,0.41,0.30,-,74.0,-,-,-,4.77,38,0.02,290,0.97,0.19,-,47,-,-,104,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1541&name=Brown rice and country style chicken red curry (without coconut milk)
98,T195,ข้าวกล้อง-แกงเผ็ดไก่,Brown rice and chicken red curry,-,1.00,16,18.40,-,4,-,-,1.9,-,132,3.75,0.63,0.03,0.40,0.43,2.38,0.40,-,69.8,-,-,-,5.25,10,0.02,208,0.35,0.23,-,18,-,-,96,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1542&name=Brown rice and chicken red curry
99,T196,ข้าวกล้อง-แกงเหลืองปลาทับทิม,Brown rice and country style fish yellow curry,-,1.27,16,15.13,-,3,-,-,1.3,-,92,0.97,0.33,0.04,0.26,0.30,0.25,0.47,-,76.4,-,-,-,4.92,26,0.01,236,0.73,0.33,-,35,-,-,105,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1543&name=Brown rice and country style fish yellow curry
100,T197,ข้าวกล้อง-ขี้เมาหมู,Brown rice and basil pork fried spicy style,-,1.30,26,17.42,-,9,-,-,2.4,-,129,3.07,1.06,0.08,0.95,1.04,0.76,0.50,-,69.1,-,-,-,6.67,126,0.02,226,0.55,0.27,-,161,-,-,423,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1544&name=Brown rice and basil pork fried spicy style
101,T200,ข้าวกล้องแดง - แกงเขียวหวานไก่,"Brown rice, purple red,and chicken green curry",-,1.30,16,17.28,-,7,-,-,1.3,-,129,3.90,0.64,0.03,0.35,0.38,2.48,0.45,-,70.7,-,-,-,5.60,18,0.02,255,0.80,0.17,-,26,-,-,96,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1545&name=Brown rice, purple red,and chicken green curry"
102,T199,ข้าวกล้องแดง- กระเพราไก่,"Brown rice, purple red, and basil chicken fried",-,0.80,25,22.75,-,6,-,-,2.2,-,142,1.85,0.53,0.08,0.76,0.84,0.40,0.50,-,64.9,-,-,-,7.50,-,0.02,138,-,0.16,-,42,-,-,500,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1546&name=Brown rice, purple red, and basil chicken fried"
103,T201,ข้าวกล้องผัดกุ้ง,Fried brown rice with shrimp,-,1.30,23,21.00,-,55,-,-,2.5,-,162,4.50,1.31,0.21,1.88,2.10,0.90,0.60,-,62.6,-,-,-,8.10,321,0.03,220,0.30,0.16,-,321,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1547&name=Fried brown rice with shrimp
104,T198,ข้าวกล้อง-หมูกระเทียม,Brown rice and fried galic pork,-,1.10,20,17.67,-,12,-,-,2.9,-,141,3.17,0.78,0.07,0.77,0.84,0.88,0.55,-,66.1,-,-,-,9.07,82,0.02,165,0.30,0.32,-,116,-,-,402,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1548&name=Brown rice and fried galic pork
105,T48,ข้าวขาหมู,"Rice, topped with pork leg stew in gravy)",-,1.31,236,19.34,-,-,-,-,1.0,-,161,5.93,-,-,-,-,-,0.80,-,65.3,1.00,43,52,7.19,-,0.21,324,-,0.08,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1549&name=Rice, topped with pork leg stew in gravy)"
106,T310,ข้าวซอยไก่,Northern Thai noodle with chicken curry soup,-,1.80,25,7.30,-,-,-,-,1.6,-,151,10.60,-,-,-,-,-,1.20,-,72.9,3.00,61,-,5.80,0,0.08,-,-,1.13,-,4,0,-,46,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1550&name=Northern Thai noodle with chicken curry soup
107,T51,ข้าวต้มหมู,Porridge rice with pork,-,1.07,-,9.58,-,-,-,-,0.0,-,65,1.09,-,-,-,-,-,-,-,84.1,-,45,135,4.19,-,-,226,-,-,-,-,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1551&name=Porridge rice with pork
108,T205,"ข้าวผัดทั่วไป, ไม่ระบุ","Fried rice, not specified",-,1.50,15,24.26,-,-,-,-,1.8,-,160,4.14,-,-,-,-,-,0.48,-,63.7,-,-,-,4.56,-,0.02,335,1.04,0.06,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1552&name=Fried rice, not specified"
109,T204,ข้าวผัดผัก,"Fried rice, with vegetables",-,1.30,7,28.50,-,-,-,-,1.7,-,178,5.10,-,-,-,-,-,0.40,-,59.8,-,-,-,3.60,-,0.01,268,2.20,0.14,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1553&name=Fried rice, with vegetables"
110,T56,ข้าวผัดหมู,"Fried rice with pork, vegetable and egg",-,1.68,87,-,15.90,-,-,-,-,-,-,6.34,-,-,-,-,-,0.57,-,70.3,1.60,52,91,5.75,-,0.21,141,-,0.02,144,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1554&name=Fried rice with pork, vegetable and egg"
111,T59,"ข้าวมัน, ไก่ต้ม","Khao-mun-kai-tom (rice cooked in chicken broth, topped with boiled chicken)",-,1.28,122,21.25,-,2,-,-,1.5,-,198,9.25,1.41,0.02,0.58,0.60,1.30,1.20,-,60.0,1.00,59,-,6.75,-,0.03,-,-,0.04,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1555&name=Khao-mun-kai-tom (rice cooked in chicken broth, topped with boiled chicken)"
112,T206,"ข้าวมัน, ไก่ทอด","Khao-mun-kai-tod (rice cooked in chicken broth,  topped with deep-fried chicken)",-,1.40,14,32.90,-,-,0.10,-,2.2,-,235,7.20,-,-,-,-,-,0.60,16,47.7,2.11,84,130,8.60,4,0.07,330,-,0.02,-,4,-,0.40,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1556&name=Khao-mun-kai-tod (rice cooked in chicken broth,  topped with deep-fried chicken)"
113,T397,ข้าวมัน (เฉพาะข้าว),Khao-mun  (Rice cooked in chicken broth),-,0.80,-,33.57,-,-,-,-,0.6,-,179,3.47,-,-,-,-,-,0.22,-,58.5,-,-,-,3.07,-,-,217,-,-,-,-,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1557&name=Khao-mun  (Rice cooked in chicken broth)
114,T60,ข้าวยำปักษ์ใต้,Khao-yum-pak-tai (Southern style rice salad: Rice with assorted vegetables served with southern fish sauce (Nam boo-doo)),-,2.30,69,20.95,-,-,-,-,1.1,-,133,3.50,-,-,-,-,-,1.30,-,68.4,1.00,63,-,3.80,-,0.22,474,-,0.01,-,-,2,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1558&name=Khao-yum-pak-tai (Southern style rice salad: Rice with assorted vegetables served with southern fish sauce (Nam boo-doo))
115,T46,ข้าวราดแกงเขียวหวานไก่,Khao-rad-kaeng-kheaw-whan-kai (Rice+ green curry with chicken),-,0.94,114,19.17,-,-,-,-,1.2,-,142,4.01,-,-,-,-,-,0.10,-,68.1,1.90,117,-,6.59,20,0.13,-,-,0.07,-,20,1,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1559&name=Khao-rad-kaeng-kheaw-whan-kai (Rice+ green curry with chicken)
116,T43,ข้าวราดแกงมัสหมั่นเนื้อ,Rice and beef matsaman curry,-,0.90,-,-,19.50,-,-,-,-,-,-,2.50,-,-,-,-,-,1.80,-,70.3,-,-,113,6.90,-,-,247,-,-,128,-,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1560&name=Rice and beef matsaman curry
117,T54,ข้าวราดไก่ผัดใบกะเพรา,Rice and stir fried chicken with holy basil leaves,-,1.74,172,-,23.60,-,-,-,-,-,-,6.55,-,-,-,-,-,0.40,-,59.5,2.50,66,-,8.61,-,0.19,-,-,0.07,188,-,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1561&name=Rice and stir fried chicken with holy basil leaves
118,T44,ข้าวราดไข่พะโล้,Rice topped with egg in five spices soup,-,1.33,47,16.14,-,73,0.29,-,5.3,-,156,6.45,2.29,-,-,1.25,2.60,3.35,35,61.6,1.35,194,127,5.66,44,0.35,305,-,0.62,-,44,0,2.05,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1562&name=Rice topped with egg in five spices soup
119,T45,ข้าวราดผัดเครื่องในใส่ขิง,Rice with stir-fried chicken organ and ginger,-,0.60,-,-,23.20,-,-,-,-,-,-,7.30,-,-,-,-,-,-,-,64.5,-,-,-,4.40,-,-,-,-,-,176,-,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1563&name=Rice with stir-fried chicken organ and ginger
120,T207,ข้าวหน้าเป็ดย่าง,"Rice, topped  with roasted duck)",-,1.40,18,16.70,-,-,0.10,-,1.9,-,129,4.20,-,-,-,-,-,0.60,16,68.7,1.06,52,100,5.20,0,0.11,320,-,0.13,-,0,0,0.60,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1564&name=Rice, topped  with roasted duck)"
121,T63,"ข้าวหมก, ไก่",Rice cooked with curry powder and a piece of chicken breast or drumstick,-,1.03,282,24.39,-,14,-,-,1.0,-,183,6.03,1.54,0.17,1.91,2.08,2.19,-,-,60.3,2.30,69,105,7.30,24,0.01,221,0.25,0.09,-,24,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1565&name=Rice cooked with curry powder and a piece of chicken breast or drumstick
