number,food_code,thai_name,english_name,scientific_name,Ash (g),Calcium (mg),"Carbohydrate, available (g)","Carbohydrate, total (g)",Cholesterol (mg),Copper (mg),Density (g/mL),Dietary fibre (g),Edible portion (%),"Energy, by calculation (kcal)","Fat, total (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total omega-3 polyunsaturated (g)","Fatty acids, total omega-6 polyunsaturated (g)","Fatty acids, total polyunsaturated (g)","Fatty acids, total saturated (g)",Iron (mg),Magnesium (mg),Moisture (g),Niacin (mg),Phosphorus (mg),Potassium (mg),"Protein, total (g)",Retinol (mcg),Riboflavin (mg),Sodium (mg),"Sugars, total (g)",Thiamin (mg),Total energy - by calculation (kcal),Vitamin A; retinol activity equivalent (mcg),Vitamin C (mg),Zinc (mg),b-carotene (mcg),detail_url
14,T185,"แกงเขียวหวาน, ลูกชิ้นปลา","Curry, green, fish ball",-,2.87,-,4.87,-,15,-,-,1.6,-,107,7.13,1.75,0.12,1.65,1.75,3.43,-,-,78.4,-,-,368,5.13,-,-,417,4.97,-,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1458&name=Curry, green, fish ball"
15,T285,แกงเขียวหวานหมู,"Curry, green, pork",-,1.90,15,-,2.90,-,-,-,-,-,-,6.20,-,-,-,-,-,1.10,-,82.7,3.30,64,-,6.30,0,0.06,-,-,0.12,93,3,-,-,40,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1459&name=Curry, green, pork"
16,T186,แกงซุปไก่,"Soup, chicken, with onion, potato and tomato",-,1.53,-,1.67,-,16,-,-,0.9,-,41,0.70,0.23,0.03,0.24,0.27,0.18,-,-,88.7,-,-,232,6.47,-,-,291,0.85,-,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1460&name=Soup, chicken, with onion, potato and tomato"
17,T288,แกงไตปลา,"Curry, fermented fish viscera, southern style",-,3.60,17,-,4.30,-,-,-,-,-,-,1.10,-,-,-,-,-,3.79,-,86.3,2.70,68,-,4.75,61,0.10,-,-,26.53,46,62,0,-,5,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1461&name=Curry, fermented fish viscera, southern style"
18,T289,แกงบอน,"Curry, Gaeng-bon",-,2.40,50,-,7.50,-,-,-,-,-,-,0.30,-,-,-,-,-,0.70,-,88.2,1.70,26,-,1.60,0,0.02,-,-,0.03,39,4,2,-,50,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1462&name=Curry, Gaeng-bon"
19,T290,แกงป่าฟักทองใส่หมู,"Curry, pumpkin with pork",-,1.30,49,3.30,-,-,-,-,1.9,-,47,0.80,-,-,-,-,-,2.30,-,87.1,-,174,-,5.60,15,-,214,-,-,-,15,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1463&name=Curry, pumpkin with pork"
20,T187,"แกงเผ็ด, ไก่","Curry, red, chicken",-,2.85,-,3.66,-,35,-,-,2.4,-,168,12.46,3.93,0.17,4.16,4.32,2.65,-,-,71.0,-,-,434,9.22,-,-,384,3.30,-,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1464&name=Curry, red, chicken"
21,T26,"แกงเผ็ด, ไก่/เนื้อ, บรรจุกระป๋อง","Curry, red, chicken/beef, canned",-,3.05,25,5.30,-,-,-,-,1.9,-,141,8.68,-,-,-,-,-,1.32,-,71.6,-,-,-,9.44,-,0.10,622,5.00,0.02,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1465&name=Curry, red, chicken/beef, canned"
22,T28,"แกงพะแนง, ไก่/เนื้อ, บรรจุกระป๋อง","Curry, Pha-naeng, chicken/beef, canned",-,2.29,18,5.31,-,-,-,-,1.0,-,150,8.09,-,-,-,-,-,1.20,-,69.8,-,-,-,13.43,-,0.12,504,3.79,0.01,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1466&name=Curry, Pha-naeng, chicken/beef, canned"
23,T188,"แกงพะแนง, ไก่/หมู","Curry, Pha-naeng, chicken/pork",-,2.23,-,5.80,-,48,-,-,1.3,-,204,13.27,4.22,0.15,4.46,4.62,5.97,-,-,66.6,-,-,375,14.73,-,-,326,5.80,-,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1467&name=Curry, Pha-naeng, chicken/pork"
