epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,11814.1,0.92119,2.85845,0.40005,0.84826,1.35466,0.84085,0.93796,0.95852,0.73879,0.83492,0.9319,0.948,0.4842,0.88323,1.84232,0.12415,0.61701,1.41865,0.0007426,0.0007426,0.0007426
28,12257.5,0.90525,2.8905,0.39617,0.80675,1.32233,0.8892,0.93411,0.96888,0.74892,0.87696,0.91601,0.9504,0.52276,0.87845,1.74114,0.1521,0.6117,1.46266,0.0007327,0.0007327,0.0007327
29,12627.7,0.88197,2.84457,0.40032,0.806,1.32437,0.93125,0.96451,0.98571,0.75709,0.92473,0.95801,0.97553,0.51001,0.84985,1.8958,0.16038,0.53912,1.41388,0.0007228,0.0007228,0.0007228
30,12990.6,0.88028,2.85103,0.39931,0.79397,1.311,0.9242,0.97985,0.97956,0.77705,0.91501,0.97064,0.96523,0.52808,0.82209,1.7687,0.13154,0.48237,1.39825,0.0007129,0.0007129,0.0007129
31,13390.1,0.86553,2.64296,0.37949,0.73045,1.30132,0.97225,0.93828,0.97941,0.77468,0.96515,0.93178,0.97184,0.53443,0.80793,1.73402,0.15096,0.51419,1.3846,0.000703,0.000703,0.000703
32,13846.9,0.85207,2.68697,0.37734,0.76514,1.29665,0.93167,0.9621,0.98148,0.76371,0.93167,0.9621,0.98148,0.53715,0.83661,1.68892,0.15564,0.50803,1.39636,0.0006931,0.0006931,0.0006931
33,14256.9,0.85909,2.61868,0.37576,0.77642,1.32168,0.98683,0.95983,0.98978,0.76613,0.98371,0.9568,0.98537,0.55921,0.82854,1.65743,0.111,0.44927,1.40392,0.0006832,0.0006832,0.0006832
34,14695,0.88175,2.65005,0.37488,0.75319,1.32231,0.94575,0.93613,0.98616,0.77079,0.93925,0.93007,0.97474,0.52253,0.84584,1.7002,0.11278,0.539,1.40186,0.0006733,0.0006733,0.0006733
35,15135.8,0.89586,2.55815,0.36453,0.77386,1.33022,0.97924,0.9588,0.99062,0.76446,0.97623,0.95577,0.9854,0.56845,0.83438,1.62161,0.10527,0.47133,1.39795,0.0006634,0.0006634,0.0006634
36,15581.1,0.84961,2.51528,0.36341,0.728,1.30804,0.98523,0.96614,0.98953,0.77476,0.98523,0.96614,0.98626,0.59035,0.82641,1.56595,0.11398,0.43766,1.39322,0.0006535,0.0006535,0.0006535
